date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:58	398/398	---M--	200	added ('OK')	image/png	etag:%225af83f07-18e%22	http://web.derayah.com/wp-content/plugins/qtranslate-x/flags/gb.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/plugins/qtranslate-x/flags/gb.png	(from http://web.derayah.com/ar/)
14:46:58	2985/2985	---M--	200	added ('OK')	image/png	etag:%225af83f19-ba9%22	http://web.derayah.com/wp-content/uploads/2017/11/logo.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/uploads/2017/11/logo.png	(from http://web.derayah.com/ar/)
14:47:00	4729/4729	---M--	200	added ('OK')	image/png	etag:%225af83f18-1279%22	http://web.derayah.com/wp-content/uploads/2017/11/bakheet-e1514149251897.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/uploads/2017/11/bakheet-e1514149251897.png	(from http://web.derayah.com/ar/)
14:47:03	93293/93293	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:44:55%20GMT	http://web.derayah.com/ar/investments-products/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/investments-products/index.html	(from http://web.derayah.com/ar/)
14:47:03	55241/55241	---M--	200	added ('OK')	application/javascript	etag:%225af83f18-d7c9%22	http://web.derayah.com/wp-content/themes/deraya/vendors/flickity/flickity.pkgd.min.js?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/vendors/flickity/flickity.pkgd.min4a41.js	(from http://web.derayah.com/ar/)
14:47:04	9559/9559	---M--	200	added ('OK')	image/png	etag:%225af83f18-2557%22	http://web.derayah.com/wp-content/uploads/2017/11/anb.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/uploads/2017/11/anb.png	(from http://web.derayah.com/ar/)
14:47:05	2673/2673	---M--	200	added ('OK')	image/png	etag:%225af83f19-a71%22	http://web.derayah.com/wp-content/uploads/2017/11/ncb.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/uploads/2017/11/ncb.png	(from http://web.derayah.com/ar/)
14:47:06	107935/107935	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:44:58%20GMT	http://web.derayah.com/ar/mutual-fund-supermarket/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/mutual-fund-supermarket/index.html	(from http://web.derayah.com/ar/)
14:47:07	6770/6770	---M--	200	added ('OK')	image/png	etag:%225af83f18-1a72%22	http://web.derayah.com/wp-content/uploads/2017/11/jadwa.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/uploads/2017/11/jadwa.png	(from http://web.derayah.com/ar/)
14:47:08	88060/88060	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:45:00%20GMT	http://web.derayah.com/ar/product_type/real-estate-funds/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/product_type/real-estate-funds/index.html	(from http://web.derayah.com/ar/)
14:47:10	88332/88332	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:45:02%20GMT	http://web.derayah.com/ar/product_type/equity-funds/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/product_type/equity-funds/index.html	(from http://web.derayah.com/ar/)
14:47:10	11002/11002	---M--	200	added ('OK')	image/png	etag:%225af83f1a-2afa%22	http://web.derayah.com/wp-content/uploads/2017/11/samba.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/uploads/2017/11/samba.png	(from http://web.derayah.com/ar/)
14:47:12	6910/6910	---M--	200	added ('OK')	image/png	etag:%225af83f1a-1afe%22	http://web.derayah.com/wp-content/uploads/2017/11/saib.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/uploads/2017/11/saib.png	(from http://web.derayah.com/ar/)
14:47:13	92377/92377	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:45:05%20GMT	http://web.derayah.com/ar/assets-management/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/assets-management/index.html	(from http://web.derayah.com/ar/)
14:47:13	6136/6136	---M--	200	added ('OK')	image/png	etag:%225af83f18-17f8%22	http://web.derayah.com/wp-content/uploads/2017/11/awal-1.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/uploads/2017/11/awal-1.png	(from http://web.derayah.com/ar/)
14:47:14	160/160	---M--	200	added ('OK')	image/png	etag:%225af83f16-a0%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/ae.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/ae.png	(from http://web.derayah.com/ar/)
14:47:14	5247/5247	---M--	200	added ('OK')	image/png	etag:%225af83f18-147f%22	http://web.derayah.com/wp-content/uploads/2017/11/alrajhi-1.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/uploads/2017/11/alrajhi-1.png	(from http://web.derayah.com/ar/)
14:47:14	105856/105856	---MC-	200	added ('OK')	application/json	date:Sat,%2018%20Jan%202020%2012:44:50%20GMT	http://web.derayah.com/ar/wp-json/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/wp-json/index.html	(from http://web.derayah.com/ar/)
